Country,Totalcases,Cases_last_two_weeks,Total_deaths,Deaths_last_two_weeks
US,12246849,2115973,256782,17599
India,9139865,548135,133738,6679
Italy,1408868,448495,49823,8073
Brazil,6071401,396369,169183,6555
France,2140829,330441,48398,7721
United Kingdom,1512045,298682,55024,5786
Poland,861331,293193,13618,5573
Russia,2071858,289861,35838,5292
Germany,932367,243221,14159,2751
Spain,1556730,175512,42619,3274
Iran,854361,161412,44802,6053
Ukraine,642215,159062,11292,2480
Argentina,1370366,119867,37002,3095
Romania,418645,111654,10047,2038
Colombia,1248417,99353,35287,2313
Austria,247188,88442,2388,934
Portugal,260758,77338,3897,938
Czechia,492263,75082,7196,2168
Netherlands,484648,69903,8891,848
Mexico,1041875,69090,101676,6451
Jordan,183429,68443,2236,941
Morocco,324941,64990,5316,960
Sweden,208295,61834,6406,384
Canada,333808,61774,11502,882
Switzerland,290601,61379,4056,1154
Hungary,174618,59840,3800,1307
Indonesia,497668,57099,15884,1195
Serbia,121120,57055,1199,298
Belgium,558779,55597,15618,2402
Turkey,446822,49991,12358,1386
Georgia,104732,44052,976,477
Bulgaria,121820,42844,2880,1109
Croatia,103718,34942,1353,521
Iraq,535321,33588,11958,578
Greece,91619,33432,1630,805
Pakistan,376929,30453,7696,696
South Africa,767679,29154,20903,1058
Azerbaijan,93094,27048,1131,279
Peru,948081,25748,35549,670
Bangladesh,447341,25420,6388,296
Japan,133034,23843,1943,109
Nepal,220308,23284,1321,195
Lithuania,47047,21292,386,176
Lebanon,116476,21121,900,168
Philippines,418818,20369,8123,476
Slovakia,96241,20169,671,305
Slovenia,65308,19683,1052,474
Armenia,126224,18758,1952,372
Chile,540640,17761,15069,481
Burma,79246,17271,1739,302
Tunisia,88711,17142,2821,901
Belarus,123999,16737,1096,85
Bosnia and Herzegovina,80006,16587,2276,693
United Arab Emirates,158990,15701,552,37
Moldova,97941,15264,2149,237
Denmark,70485,14593,784,37
North Macedonia,54743,14468,1511,355
Panama,154783,14452,2957,149
Kenya,77372,14128,1380,250
Malaysia,54775,13594,335,41
West Bank and Gaza,71644,12806,636,115
Algeria,74862,12169,2272,210
Costa Rica,129418,11831,1608,117
Ecuador,185643,10374,13201,362
Kosovo,34295,9503,914,146
Kazakhstan,126182,8846,1945,88
Libya,77823,8783,1089,145
Israel,328918,8734,2799,121
Paraguay,76476,8528,1657,155
Albania,32761,8030,699,128
Dominican Republic,138410,7807,2310,43
Kuwait,140056,7578,866,50
Montenegro,31062,7454,439,97
Norway,32765,7440,306,21
Guatemala,118629,7269,4076,253
Luxembourg,29762,6535,260,67
Kyrgyzstan,69581,6191,1231,49
Sri Lanka,20171,5886,87,51
Ethiopia,105785,5803,1647,117
Latvia,13120,4933,153,52
Ireland,70461,4802,2023,75
Venezuela,99835,4686,871,41
Saudi Arabia,355258,4274,5780,221
Honduras,104435,3862,2857,92
Finland,21639,3752,375,12
Egypt,113027,3605,6548,168
Oman,122081,3578,1380,70
Estonia,9724,3474,88,12
Uganda,17968,3394,172,39
Korea South,31004,3351,509,24
Qatar,137229,2796,236,4
Uzbekistan,71617,2590,603,15
Cyprus,8643,2545,44,16
El Salvador,37562,2417,1075,61
Afghanistan,44706,2409,1687,113
Nigeria,66383,2199,1167,9
Bahrain,85705,2073,338,9
Sudan,16052,1897,1197,81
Angola,14493,1813,337,29
Botswana,9594,1759,31,4
Malta,8924,1681,111,33
Ghana,50874,1672,323,3
Bolivia,143978,1417,8907,105
Mozambique,15037,1214,124,25
Uruguay,4699,1139,71,9
Cameroon,23528,1107,435,2
Belize,5183,953,116,45
Syria,7225,941,376,55
Cabo Verde,10276,857,104,4
Andorra,6256,819,76,1
Jamaica,10284,742,238,17
Zimbabwe,9220,659,268,14
Namibia,13865,625,145,11
Guyana,5133,609,143,8
Trinidad and Tobago,6450,601,115,4
Maldives,12608,599,46,6
Congo (Kinshasa),12180,572,327,11
Mali,4255,543,145,8
Tajikistan,11894,518,86,3
Cuba,7846,497,132,2
Zambia,17424,453,357,8
Bahamas,7413,449,163,9
China,92116,423,4742,1
Rwanda,5665,423,47,9
Guinea,12826,367,75,1
Togo,2843,320,64,7
Liechtenstein,1112,311,8,4
Cote d'Ivoire,21138,303,131,5
Mauritania,8128,295,169,4
San Marino,1395,281,43,1
Mongolia,640,272,0,0
Congo (Brazzaville),5632,253,93,1
Eswatini,6219,206,120,3
Iceland,5277,176,26,3
Senegal,15882,171,330,4
Australia,27834,165,907,0
Burkina Faso,2735,154,68,1
Somalia,4445,144,113,6
Benin,2916,135,43,0
Nicaragua,5725,134,159,2
Niger,1368,122,70,1
Lesotho,2086,119,44,0
Madagascar,17341,118,251,2
Gabon,9131,102,59,2
Liberia,1551,99,82,0
Singapore,58160,96,28,0
Monaco,582,92,3,1
Vietnam,1307,92,35,0
Chad,1642,91,101,2
South Sudan,3047,87,60,1
Saint Lucia,220,79,2,2
Haiti,9214,77,232,0
Thailand,3920,76,60,0
Eritrea,551,60,0,0
Suriname,5296,55,116,3
Malawi,6003,50,185,0
Burundi,662,48,1,0
New Zealand,2030,43,25,0
Djibouti,5668,41,61,0
Mauritius,494,41,10,0
Taiwan,617,39,7,0
Equatorial Guinea,5130,38,85,0
Comoros,596,33,7,0
Central African Republic,4911,31,63,1
Gambia,3726,30,123,1
Yemen,2099,28,608,3
Sierra Leone,2405,20,74,0
Bhutan,382,18,0,0
Sao Tome and Principe,979,17,17,1
Barbados,259,16,7,0
Dominica,72,9,0,0
Grenada,41,9,0,0
Antigua and Barbuda,139,8,4,1
Saint Vincent and the Grenadines,84,8,0,0
Cambodia,306,6,0,0
Papua New Guinea,604,5,7,0
Seychelles,163,5,0,0
Marshall Islands,4,3,0,0
Guinea-Bissau,2421,2,43,0
Fiji,35,1,2,0
Laos,25,1,0,0
Saint Kitts and Nevis,20,1,0,0
Vanuatu,1,1,0,0
Brunei,148,0,3,0
Diamond Princess,712,0,13,0
Holy See,27,0,0,0
MS Zaandam,9,0,2,0
Solomon Islands,16,0,0,0
Tanzania,509,0,21,0
Timor-Leste,30,0,0,0
Western Sahara,10,0,1,0
